 ,100 ml
t(s),V (V)
1.06E+00,-3.20E-02
1.07E+00,1.60E-02
1.07E+00,0.00E+00
1.08E+00,4.80E-02
1.08E+00,2.40E-02
1.08E+00,4.80E-02
1.09E+00,4.00E-02
1.09E+00,-2.40E-02
1.10E+00,8.00E-03
1.10E+00,-5.60E-02
1.10E+00,-3.20E-02
1.11E+00,-5.60E-02
1.11E+00,-8.79E-02
1.12E+00,-3.20E-02
1.12E+00,-4.00E-02
1.12E+00,8.00E-03
1.13E+00,-2.40E-02
1.13E+00,3.20E-02
1.14E+00,8.00E-03
1.14E+00,4.00E-02
1.14E+00,5.60E-02
1.15E+00,1.60E-02
1.15E+00,1.60E-02
1.16E+00,-2.40E-02
1.16E+00,0.00E+00
1.16E+00,-4.80E-02
1.17E+00,-3.20E-02
1.17E+00,-6.40E-02
1.18E+00,-6.40E-02
1.18E+00,0.00E+00
1.18E+00,-2.40E-02
1.19E+00,1.60E-02
1.19E+00,3.20E-02
1.20E+00,-8.00E-03
1.20E+00,4.00E-02
1.20E+00,1.60E-02
1.21E+00,3.20E-02
1.21E+00,0.00E+00
1.22E+00,8.00E-03
1.22E+00,-3.20E-02
1.22E+00,-2.40E-02
1.23E+00,-5.60E-02
1.23E+00,-3.20E-02
1.24E+00,-5.60E-02
1.24E+00,-4.80E-02
1.24E+00,8.00E-03
1.25E+00,-2.40E-02
1.25E+00,4.00E-02
1.26E+00,3.20E-02
1.26E+00,0.00E+00
1.26E+00,3.20E-02
1.27E+00,8.00E-03
1.27E+00,1.60E-02
1.28E+00,-2.40E-02
1.28E+00,0.00E+00
1.28E+00,-4.80E-02
1.29E+00,-3.20E-02
1.29E+00,-5.60E-02
1.30E+00,-4.00E-02
1.30E+00,0.00E+00
1.30E+00,8.00E-03
1.31E+00,-3.20E-02
1.31E+00,0.00E+00
1.32E+00,1.60E-02
1.32E+00,8.00E-03
1.32E+00,3.20E-02
1.33E+00,1.60E-02
1.33E+00,-8.00E-03
1.34E+00,8.00E-03
1.34E+00,-3.20E-02
1.34E+00,-3.20E-02
1.35E+00,-2.40E-02
1.35E+00,-4.00E-02
1.36E+00,8.00E-03
1.36E+00,-3.20E-02
1.36E+00,8.00E-03
1.37E+00,-2.40E-02
1.37E+00,1.60E-02
1.38E+00,8.00E-03
1.38E+00,3.20E-02
1.38E+00,-8.00E-03
1.39E+00,2.40E-02
1.39E+00,8.00E-03
1.40E+00,-3.20E-02
1.40E+00,0.00E+00
1.40E+00,-3.20E-02
1.41E+00,-3.20E-02
1.41E+00,0.00E+00
1.42E+00,-3.20E-02
1.42E+00,8.00E-03
1.42E+00,-3.20E-02
1.43E+00,8.00E-03
1.43E+00,0.00E+00
1.44E+00,1.60E-02
1.44E+00,1.60E-02
1.44E+00,-8.00E-03
1.45E+00,2.40E-02
1.45E+00,-8.00E-03
1.46E+00,8.00E-03
1.46E+00,-2.40E-02
1.46E+00,-2.40E-02
1.47E+00,8.00E-03
1.47E+00,-2.40E-02
1.48E+00,1.60E-02
1.48E+00,-2.40E-02
1.48E+00,1.60E-02
1.49E+00,8.00E-03
1.49E+00,-3.20E-02
1.50E+00,1.60E-02
1.50E+00,-2.40E-02
1.50E+00,-3.20E-02
1.51E+00,2.40E-02
1.51E+00,8.00E-03
1.52E+00,-3.20E-02
1.52E+00,0.00E+00
1.52E+00,-3.20E-02
1.53E+00,8.00E-03
1.53E+00,-3.20E-02
1.54E+00,-4.00E-02
1.54E+00,1.60E-02
1.54E+00,-8.00E-03
1.55E+00,8.00E-03
1.55E+00,8.00E-03
1.56E+00,-2.40E-02
1.56E+00,8.00E-03
1.56E+00,-2.40E-02
1.57E+00,-2.40E-02
1.57E+00,1.60E-02
1.58E+00,8.00E-03
1.58E+00,-2.40E-02
1.58E+00,-3.20E-02
1.59E+00,1.60E-02
1.59E+00,-2.40E-02
1.60E+00,1.60E-02
1.60E+00,-3.20E-02
1.60E+00,1.60E-02
1.61E+00,1.60E-02
1.61E+00,-3.20E-02
1.62E+00,-3.20E-02
1.62E+00,1.60E-02
1.62E+00,-2.40E-02
1.63E+00,8.00E-03
1.63E+00,8.00E-03
1.64E+00,-2.40E-02
1.64E+00,-8.00E-03
1.64E+00,8.00E-03
1.65E+00,8.00E-03
1.65E+00,-2.40E-02
1.66E+00,-8.00E-03
1.66E+00,8.00E-03
1.66E+00,8.00E-03
1.67E+00,-3.20E-02
1.67E+00,8.00E-03
1.68E+00,-2.40E-02
1.68E+00,1.60E-02
1.68E+00,-2.40E-02
1.69E+00,-2.40E-02
1.69E+00,8.00E-03
1.70E+00,-2.40E-02
1.70E+00,8.00E-03
1.70E+00,1.60E-02
1.71E+00,-2.40E-02
1.71E+00,8.00E-03
1.72E+00,-3.20E-02
1.72E+00,-2.40E-02
1.72E+00,1.60E-02
1.73E+00,-2.40E-02
